file,deleted
AYOYIX_extracted.pdb,Y
AYUPUG_extracted.pdb,Y
AZADUA_extracted.pdb,N
AZAZUX_extracted.pdb,N
AZEBAJ_extracted.pdb,N
AZEBEN_extracted.pdb,N
AZEBIR_extracted.pdb,N
AZESUV_extracted.pdb,N
AZETEG_extracted.pdb,Y
AZFURD_extracted.pdb,M
AZIHUO_extracted.pdb,Y
AZOCTA10_extracted.pdb,M
AZOCTB10_extracted.pdb,M
AZOCTC10_extracted.pdb,M
AZOVOB_extracted.pdb,Y
AZPACN_extracted.pdb,Y
AZTYMD_extracted.pdb,Y
AZUBUT_extracted.pdb,Y
AZURID10_extracted.pdb,Y
AZURPH_extracted.pdb,Y
BACRIN_extracted.pdb,M
BACRUT_extracted.pdb,Y
BAHCAO_extracted.pdb,Y
BAJTAK_extracted.pdb,Y
BAKROU_extracted.pdb,Y
BAKZOC_extracted.pdb,Y
BALMIN_extracted.pdb,Y
BAMYEW_extracted.pdb,N
BANXUJ_extracted.pdb,N
BAPQUE_extracted.pdb,M
BAQWUO_extracted.pdb,Y
BARBAX_extracted.pdb,Y
BARLIS_extracted.pdb,Y
BATLOZ_extracted.pdb,Y
BATLUF_extracted.pdb,Y
BATMEQ_extracted.pdb,Y
BATMIU_extracted.pdb,Y
BATVUP_extracted.pdb,N
BATWAW_extracted.pdb,N
BATWEA_extracted.pdb,N
BATWIE_extracted.pdb,N
BAWPOH_extracted.pdb,Y
BAYJAP_extracted.pdb,Y
BAYJET_extracted.pdb,Y
BAYTUR_extracted.pdb,N
BAZSAZ_extracted.pdb,Y
BCDEXD_extracted.pdb,M
BCDEXD02_extracted.pdb,M
BCDEXD10_extracted.pdb,N
BCMXHP_extracted.pdb,Y
BDFACM_extracted.pdb,Y
BEBFAP_extracted.pdb,Y
BEBJAT_extracted.pdb,N
BECPAD01_extracted.pdb,Y
BEDSUA_extracted.pdb,Y
BEDTAH_extracted.pdb,Y
BEDWEP_extracted.pdb,Y
BEDYIV_extracted.pdb,Y
BEFXES_extracted.pdb,Y
BEGBOE_extracted.pdb,Y
BEGRIQ_extracted.pdb,Y
BEGYEU_extracted.pdb,N
BEGYIW_extracted.pdb,N
BEGYIW01_extracted.pdb,N
BEGYIY_extracted.pdb,Y
BEJKIK_extracted.pdb,Y
BELZEX_extracted.pdb,Y
BEMMEN_extracted.pdb,Y
BEPSAT_extracted.pdb,Y
BEPSIB_extracted.pdb,Y
BEQKEP_extracted.pdb,Y
BEQLOB_extracted.pdb,Y
BEQLUH_extracted.pdb,Y
BEQMAO_extracted.pdb,Y
BEQMES_extracted.pdb,Y
BEQMIW_extracted.pdb,Y
BEQYIH_extracted.pdb,Y
BEQYON_extracted.pdb,Y
BEQYUT_extracted.pdb,Y
BEQZAA_extracted.pdb,Y
BEQZEE_extracted.pdb,Y
BEQZII_extracted.pdb,Y
BERFEM_extracted.pdb,Y
BERHOY02_extracted.pdb,Y
BESBIN_extracted.pdb,Y
BESBOT_extracted.pdb,Y
BESLUG_extracted.pdb,Y
BETXOQ_extracted.pdb,Y
BEVGUE_extracted.pdb,N
BEWNAU_extracted.pdb,Y
BEWYOS_extracted.pdb,Y
BEWYUY_extracted.pdb,Y
BEWZEJ_extracted.pdb,Y
BEWZEJ01_extracted.pdb,Y
BEWZEJ02_extracted.pdb,Y
BEWZEJ03_extracted.pdb,Y
BEWZOV_extracted.pdb,Y
BEXMEX_extracted.pdb,Y
BEXWEI_extracted.pdb,Y
BEXYAG_extracted.pdb,Y
BEXYEK_extracted.pdb,Y
BEYCEN_extracted.pdb,Y
BEYCIR_extracted.pdb,Y
BEZCUH01_extracted.pdb,Y
BHPMYC02_extracted.pdb,M
BHPMYC03_extracted.pdb,M
BHPMYC04_extracted.pdb,N
BHPMYC05_extracted.pdb,M
BHPMYC06_extracted.pdb,M
BIBLEE_extracted.pdb,Y
BIBLII_extracted.pdb,Y
BIBLOO_extracted.pdb,Y
BIBLUU_extracted.pdb,Y
BIFTAN_extracted.pdb,Y
BIGMAG_extracted.pdb,Y
BIHPOZ_extracted.pdb,Y
BIJNIS_extracted.pdb,Y
BIJNOY_extracted.pdb,Y
BILWOI_extracted.pdb,Y
BIMXOL_extracted.pdb,N
BIMXUR_extracted.pdb,Y
BISMEX_extracted.pdb,Y
BISMIB_extracted.pdb,Y
BITDEN_extracted.pdb,Y
BITDIR_extracted.pdb,Y
BITWUZ_extracted.pdb,Y
BITXAG_extracted.pdb,Y
BITXEK_extracted.pdb,Y
BITXIO_extracted.pdb,Y
BIWDUG_extracted.pdb,Y
BIWVAE_extracted.pdb,N
BIWVIM_extracted.pdb,Y
BIXGUL_extracted.pdb,Y
BIXHAS_extracted.pdb,Y
BIXHEW_extracted.pdb,Y
BIXHIA_extracted.pdb,Y
BIYSUY_extracted.pdb,Y
BIZZUG_extracted.pdb,Y
BMATZO_extracted.pdb,Y
BMOXZO_extracted.pdb,M
BMPOLI_extracted.pdb,M
BOBPEN_extracted.pdb,N
BOBPIR_extracted.pdb,N
BOCZUO_extracted.pdb,N
BOCZUO01_extracted.pdb,N
BOCZUO02_extracted.pdb,N
BODFEF_extracted.pdb,Y
BOFGAG_extracted.pdb,N
BOFGEK_extracted.pdb,N
BOFGIO_extracted.pdb,N
BOFGOU_extracted.pdb,N
BOFWIC_extracted.pdb,Y
BOFWOI_extracted.pdb,Y
BOHXEC_extracted.pdb,N
