cif,deleted
ABOZEZ_extracted.cif,Y
ABUJOW_extracted.cif,Y
ABUJUC_extracted.cif,Y
ABUKAJ_extracted.cif,Y
ABUKEN_extracted.cif,Y
ABUQEV_extracted.cif,Y
ABUQIZ_extracted.cif,Y
ABUQOF_extracted.cif,Y
ABUQUL_extracted.cif,Y
ABURAS_extracted.cif,Y
ABUSIB_extracted.cif,Y
ABUSOH_extracted.cif,Y
ABUSUN_extracted.cif,Y
ABUTAU_extracted.cif,Y
ABUTAV_extracted.cif,Y
ABUTID_extracted.cif,Y
ABUVAW_extracted.cif,Y
ABUVAX_extracted.cif,Y
ABUVEA_extracted.cif,Y
ABUVEB_extracted.cif,Y
ABUWIG_extracted.cif,Y
ABUWOM_extracted.cif,Y
ABUZED_extracted.cif,Y
ABVPRO_extracted.cif,Y
ACAFUH_extracted.cif,Y
ACAGIW_extracted.cif,Y
ACAGIX_extracted.cif,Y
ACAGUJ_extracted.cif,Y
ACAKEU_extracted.cif,Y
ACAKIY_extracted.cif,Y
ACAKOE_extracted.cif,Y
ACAKUK_extracted.cif,Y
ACALAR_extracted.cif,Y
ACALDA_extracted.cif,Y
ACALEV_extracted.cif,Y
ACALIZ_extracted.cif,Y
ACALOF_extracted.cif,Y
ACALUL_extracted.cif,Y
ACAMAS_extracted.cif,Y
ACAMBR01_extracted.cif,Y
ACAMEW_extracted.cif,Y
ACAMIA_extracted.cif,Y
ACAMOG_extracted.cif,Y
ACAMOJ_extracted.cif,Y
ACAMUM_extracted.cif,Y
ACAMUP_extracted.cif,Y
ACANAT_extracted.cif,Y
ACANEX_extracted.cif,Y
ACANIB_extracted.cif,Y
ACANIL06_extracted.cif,Y
ACAREB_extracted.cif,Y
ACARIF_extracted.cif,Y
ACAVAE_extracted.cif,N
ACAWOT_extracted.cif,Y
ACAWUZ_extracted.cif,Y
ACAXAG_extracted.cif,Y
ACDHAL01_extracted.cif,Y
ACEBAN_extracted.cif,Y
ACEGUM_extracted.cif,Y
ACEHAT_extracted.cif,Y
ACEHEX_extracted.cif,Y
ACEHIB_extracted.cif,Y
ACEHOH_extracted.cif,Y
ACEHUN_extracted.cif,Y
ACEJAV_extracted.cif,Y
ACEJEX_extracted.cif,Y
ACEJIB_extracted.cif,Y
ACEKIC_extracted.cif,Y
ACEKIC01_extracted.cif,Y
ACELAV_extracted.cif,Y
ACELOK_extracted.cif,Y
ACELUQ_extracted.cif,Y
ACEMAW_extracted.cif,Y
ACEMUR_extracted.cif,Y
ACENAZ_extracted.cif,Y
ACENHT_extracted.cif,Y
ACENON_extracted.cif,Y
ACEPAB_extracted.cif,N
ACEPEE_extracted.cif,Y
ACEQAB_extracted.cif,Y
ACERIK_extracted.cif,Y
ACERIK01_extracted.cif,Y
ACERUW_extracted.cif,Y
ACETAE_extracted.cif,Y
ACETAE01_extracted.cif,Y
ACETIM_extracted.cif,Y
ACEVIO_extracted.cif,Y
ACEVOU_extracted.cif,Y
ACEVUB_extracted.cif,N
ACEWAH_extracted.cif,Y
ACEWAI_extracted.cif,Y
ACEWEM_extracted.cif,Y
ACEWIQ_extracted.cif,Y
ACEWOW_extracted.cif,Y
ACEWUB_extracted.cif,Y
ACEWUC_extracted.cif,Y
ACEXAI_extracted.cif,Y
ACEXAI01_extracted.cif,Y
ACEXOX_extracted.cif,Y
ACEXUC_extracted.cif,Y
ACEXUD_extracted.cif,Y
ACEYEN_extracted.cif,Y
ACEYIR_extracted.cif,Y
ACEYIR01_extracted.cif,Y
ACEZAK_extracted.cif,Y
ACEZOY_extracted.cif,Y
ACEZUD_extracted.cif,Y
ACIBOD_extracted.cif,Y
ACICAR_extracted.cif,Y
ACICAR01_extracted.cif,Y
ACICEV_extracted.cif,Y
ACICEV01_extracted.cif,Y
ACICEV02_extracted.cif,Y
ACICIA_extracted.cif,Y
ACICOD_extracted.cif,Y
ACICOG_extracted.cif,Y
ACIDEV03_extracted.cif,Y
ACIDEY_extracted.cif,Y
ACIDIC_extracted.cif,Y
ACIDIZ_extracted.cif,Y
ACIDOI_extracted.cif,Y
ACIDUO_extracted.cif,Y
ACIFOH_extracted.cif,Y
ACIFOH01_extracted.cif,Y
ACIHOK_extracted.cif,N
ACIJEC_extracted.cif,Y
ACIJOM01_extracted.cif,Y
ACILEG_extracted.cif,Y
ACIQAE_extracted.cif,Y
ACIREL_extracted.cif,Y
ACIREL01_extracted.cif,Y
ACIRUB_extracted.cif,Y
ACIRUB01_extracted.cif,Y
ACISAI_extracted.cif,Y
ACISAI01_extracted.cif,Y
ACITOX_extracted.cif,Y
ACITUE_extracted.cif,Y
ACIVAM_extracted.cif,Y
ACIVIS_extracted.cif,Y
ACIWEP_extracted.cif,Y
ACIWIT_extracted.cif,Y
ACIWOZ_extracted.cif,N
ACIWUG_extracted.cif,Y
ACIYES_extracted.cif,Y
ACIYIW_extracted.cif,Y
