REFCODE,molecule,pore_diam_opt,no_windows,classification
ACEVUB,3,0.8046846726793069,3,
ACIHOK,2,4.3998528904427925,2,
ACIHOK,6,4.399177253255472,2,
ACIHOK,10,4.399805725564552,2,
ACIHOK,19,4.39777858009095,2,
ACOKAG,0,1.823085687344708,2,
ACOKAG,1,1.8220171005166643,2,
ACOKAG,2,1.8222482012342869,2,
ACOKAG,3,1.823316770221304,2,
ADABOX,0,0.8696431726265224,2,
ADABOX,1,0.920041234715756,2,
ADAFES,0,0.4381913767270191,2,
ADAFES,1,0.4381913767270191,2,
ADAFES,2,0.4379605901320347,2,
ADAFES,3,0.15876439970049416,2,
ADAFES,4,0.15876439970049416,2,
ADARUU,7,5.860770341452263,4,
ADARUU,8,5.860542292587718,4,
ADARUU,11,5.860770834246888,4,
ADARUU,12,5.860765595359602,3,
ADARUU,33,5.859525911780733,4,
ADARUU,34,5.860713320842347,4,
ADARUU,65,5.860827436605537,3,
ADARUU,66,5.859751841764933,4,
ADIPOU,0,0.2904821177086179,2,
ADIPOU,1,0.2904821177086179,2,
ADIPOU,2,0.2904821176002601,2,
ADIPOU,3,0.2904821176002601,2,
ADIPOU,4,0.1880986648585834,3,
ADIPOU,5,0.1880986648585989,3,
ADOFAB,0,1.105622530722639,2,
ADOFAB,1,1.1069761253128123,2,
ADOQAO,0,3.742686175510884,3,
ADOQAO,1,3.742686175510884,3,
ADOQAO,2,3.742686175510884,3,
ADOQAO,3,3.742686175510884,3,
ADOSEU,0,4.403644165397953,2,
ADOSEU,1,4.4046580256511385,2,
ADOSOE,1,5.468542373655225,2,
ADOSOE,2,5.4662172394381985,2,
ADOSOE,3,5.467260030349396,2,
ADOSOE,4,5.46629043717142,2,
ADUCUA,1,2.851142425698892,2,
AFISOY,0,4.239644750333699,2,
AFISOY,3,4.2398901237230815,2,
AFISUE,0,4.052318853151105,2,
AFISUE,6,4.076367792933223,2,
AFITAL,3,4.1931635024768585,2,
AFITAL,4,4.1886432325888725,2,
AFITAL,5,4.1921285186745285,2,
AGAHOI,0,1.1493245857141041,2,
AGAHOI,1,1.1493247046070425,2,
AGAHOI,2,1.1493247001076623,2,
AGAHOI,3,1.1493247001076623,2,
AGAHOI,4,1.3231466283657531,2,
AGAHOI,5,1.3231466283657531,2,
AGAHOI,6,0.8242978872170319,2,
AGAHOI,7,0.8242978872170319,2,
AGAHOI,8,1.5630939687390195,2,
AGAJAW,2,0.519680730057122,2,
AGAJAW,3,0.5190955402948974,2,
AGAJAW,8,0.4585397336281103,2,
AGAJAW,9,0.4575402480594013,2,
AGAJIE,0,0.3251295851835754,2,
AGAJIE,1,0.3259268200359764,2,
AGAJIE,11,0.3362734217098202,2,
AGAJIE,12,0.3511437912607596,2,
AGAJOK,0,0.1175921589023554,2,
AGAJOK,1,0.1175921589023554,2,
AGAJOK,2,0.1175921589023554,2,
AGAJOK,3,0.1175921589023554,2,
AGAJOK,4,0.3127446957962761,2,
AGAJOK,5,0.3127446957962761,2,
AGAJOK,6,0.3127446957962761,2,
AGAJOK,7,0.3127446957962761,2,
AGEPIL,0,0.7311565062289387,2,
AGEPIL,1,0.7311564126421399,2,
AGEPIL,2,0.731156411076618,2,
AGEPIL,3,0.7311564111391422,2,
AGETIR,0,1.2581748877676209,2,
AGETIR,1,1.2563155236702,2,
AGETIR,6,1.2580815559375398,2,
AGETIR,7,1.2560394473109722,2,
AGIYIB,0,2.612374770474944,2,
AGIYIB,1,2.6156139621826173,2,
AGIYIB,2,2.6164929225612776,2,
AGIYIB,3,2.6071775755160345,2,
AHOCUV,0,1.3165101979779266,2,
AHOCUV,1,1.3303831561465231,2,
AHOCUV,2,1.3833257845880529,2,
AHOCUV,3,1.3813493084696806,2,
AHUVII01,0,1.255328479857066,3,
AHUVII01,1,1.2536716846500604,2,
AHUVII01,2,1.2542148812592004,2,
AHUVII01,3,1.2542148812592004,2,
AHUVII01,4,1.2553284854183409,3,
AJEDOI,0,1.1573060582652075,2,
AJEDOI,1,1.1571921407140446,2,
AJERAJ,0,0.2638667694797432,2,
AJERAJ,1,0.2638667694797432,2,
AJOQEX,1,5.078931014421416,2,
AJOQEX,3,5.078931794525609,2,
AJOQEX,4,5.078290406333631,2,
AJOQEX,7,5.078931711952434,2,
AJUNOJ,0,6.160276050263626,2,
AKEBEZ,4,1.5854248390675565,2,
AKEBEZ,8,1.6975805123703247,2,
AKEBEZ,9,1.5835729845767812,2,
AKEBEZ,10,1.7326478108949486,2,
AKEBEZ,11,1.5836285231177776,2,
AKEBEZ,12,1.7417711249331624,2,
AKEBEZ,13,1.5841332734383715,2,
AKEBEZ,14,1.5363843989420456,2,
AKEBEZ,15,1.7716027883048642,2,
AKEBEZ,19,1.5928177580953171,2,
AKIFAB,0,0.5291213106251553,2,
AKIFAB,1,0.5285249719828142,2,
AKIFAB,6,0.5324171325635905,2,
AKIFAB,7,0.5321293713484638,2,
AKIMUE,1,3.5018859203713704,2,
AKINAL,1,2.5829124253403664,2,
AKINEP,0,2.9616275437059887,2,
AKINIT,0,2.2748369114790887,2,
AKINIT,1,2.274837385059268,2,
AKINIT,10,2.274836908255624,2,
AKINIT,17,2.274837383682624,2,
AKINOZ,1,2.5017339334169018,2,
AKINOZ,3,2.5025927649107023,2,
AKINOZ,6,2.5025888688102538,2,
AKINOZ,17,2.5034271296238475,2,
AKINUF,1,2.3540888836864933,2,
AKINUF,2,2.3540888852648387,2,
AKINUF,6,2.354088884656297,2,
AKINUF,19,2.3540888838847267,2,
AKOREZ,2,0.7938999245109994,2,
AKOREZ,3,0.7945848169742971,2,
AKOREZ,6,0.584084824929755,2,
AKOREZ,7,0.6731497630550263,2,
AKOREZ,8,0.5551037099320801,2,
AKOREZ,9,0.5706749198881327,2,
AKUVEH,0,0.9393356116885044,3,
AKUVEH,1,0.9398205088389404,2,
AKUVIL,0,0.7246348081387759,2,
AKUVIL,1,0.7239692328115441,2,
AKUVOR,0,1.0087303796461131,4,
ALABEV,4,3.612350074424232,3,
ALABEV,5,3.6123841155903182,3,
ALABEV,8,3.6123259588965833,3,
ALABEV,9,3.6118009076315243,3,
ALABIZ,0,3.1990752973934358,3,
ALABIZ,1,3.1990645258037365,3,
ALABOF,2,3.293839779989041,3,
ALABOF,3,3.2936735694430936,3,
ALABOF,14,3.3076583647223567,3,
ALABOF,15,3.2938461420517617,3,
ALABOF01,4,3.306668038553601,3,
ALABOF01,5,3.3066063050187675,3,
ALABOF01,10,3.305914166495341,3,
ALABOF01,11,3.3055959911006414,3,
ALAHEC,0,0.5422652286902694,2,
ALAHEC,1,0.5313827151251691,2,
ALAHEC,2,0.5320171993838739,2,
ALAHEC,3,0.5431036375965226,2,
ALAHEC,4,0.5313171767744875,2,
ALAHEC,5,0.5420673618731358,2,
ALAHEC,6,0.5318271382570479,2,
ALAHEC,7,0.5430481631558095,2,
AMIDAD,0,0.6859679589514003,2,
AMIDAD,1,0.685725709258616,2,
AMIDAD,2,0.6814380968109375,2,
AMIDAD,3,0.6814510897742285,2,
ANETAQ,0,1.6819779961363617,2,
ANETAQ,1,1.6819779961363617,2,
ANETAQ,2,1.6819779961363617,2,
ANETAQ,3,1.6819779961363617,2,
ANETAQ,4,1.6819779961363617,2,
ANETAQ,5,1.6819779961363617,2,
ANETAQ,6,1.6819779961363617,2,
ANETAQ,7,1.6819779961363617,2,
ANETAQ,8,1.6829420092756306,2,
ANETEU,0,0.9281694022535768,2,
ANETEU,1,0.9281694022746084,2,
ANETEU,2,0.9281694022746084,2,
ANETEU,3,0.9281694022746084,2,
ANETEU,5,0.921715849931004,2,
ANETIY,0,0.9666984465925634,2,
ANETIY,1,0.9666984465925634,2,
ANETIY,2,0.9666984465925634,2,
ANETIY,3,0.9666984465925634,2,
ANETIY,5,0.8570068186286783,2,
ANETIY,6,0.8570068186286783,2,
ANETOE,1,1.5094718287774556,2,
ANETOE,2,1.5094718287774556,2,
ANETOE,3,1.5094718287774556,2,
ANETOE,4,1.5094718287774556,2,
ANETOE,5,1.5488348631518742,2,
ANETOE,6,1.5225517561248765,2,
ANETUK,0,1.1182043502742038,2,
ANETUK,1,1.1182043473556351,2,
ANETUK,2,1.1182043502742038,2,
ANETUK,3,1.1182043502742038,2,
ANETUK,4,1.2605507057012906,2,
ANETUK,5,1.2605507057012906,2,
ANIGOU,0,0.7377069619438203,2,
ANIGOU,1,0.8376191524616532,3,
ANIGOU,2,0.8364425030626106,3,
ANIGOU,3,0.8362089797844399,3,
ANIGOU,4,0.7379644086352264,3,
ANIGOU,5,0.8374151471313369,3,
ANOVIJ,0,0.4133387988090038,2,
ANOVIJ,1,0.4139582841931677,2,
ANOVIJ,4,0.3947760609465174,2,
ANOVIJ,5,0.4076533757315004,2,
ANOVIJ,6,0.4087058891167897,2,
ANOVIJ,7,0.40888123255340897,2,
ANOVIJ,10,0.41396075732133975,2,
ANOVIJ,11,0.4078984891037232,2,
ANUKOL,0,0.7834729225671175,2,
ANUKOL,1,0.7838359500637044,3,
ANUKOL,4,0.7825759194072162,3,
ANUKOL,5,0.7860895555555407,2,
APEQUJ,0,3.851251507956366,3,
APEQUJ,1,3.85054677062328,3,
APUQUY,6,4.802111337074463,5,
APUQUY,7,4.8017724884336666,4,
APUQUY,8,4.772755517011783,3,
APUQUY,9,4.864970955218466,4,
APURAF,0,4.1347309031103885,3,
APURAF,1,4.063173231393355,3,
APUREJ,0,4.406787124372267,2,
APUREJ,1,4.400898978606413,2,
APURIN,0,4.402024637873284,2,
APURIN,1,4.4296720569074814,2,
APURIN,12,4.397838128680409,2,
APURIN,13,4.238440989122477,2,
APURIN,14,4.376416153002186,2,
APURIN,15,4.378993537017651,2,
APURIN,66,4.2390302042461805,2,
APURIN,67,4.238523791993407,2,
APUROT,0,4.3393101972956405,2,
APUROT,1,4.3415335011299305,2,
APUROT,6,4.281453938121185,2,
APUROT,12,4.340844364263994,2,
APURUZ,0,4.748143857889813,2,
APURUZ,1,4.742310862682924,2,
APURUZ,2,4.737027171935502,2,
APURUZ,3,4.7427977126311776,2,
APURUZ,6,4.743656817794647,2,
APURUZ,7,4.746877101262381,2,
APURUZ,14,4.7224698555021405,2,
APURUZ,15,4.724835832560075,2,
APUTAG,0,1.1582315765157791,2,
APUTAG,1,1.1582315765157791,2,
APUTAG,2,1.1324754668852486,2,
APUTAG,3,1.1485679802258848,2,
APUTAG,4,1.1485679802258848,2,
APUTAG,5,1.158430086217646,2,
APUTIO,0,0.35168470402181784,2,
APUTIO,1,0.35168470402181784,2,
APUTIO,2,0.35168470402181784,2,
APUTIO,3,0.35168470402181784,2,
APUTIO,4,0.35168470402181784,2,
APUTIO,5,0.35168470402181784,2,
APUTIO,6,0.35168470402181784,2,
APUTIO,7,0.35168470402181784,2,
APUTIO,8,0.3516847040218112,2,
APUTIO,9,0.3516847040218112,2,
APUTIO,10,0.3516847040218112,2,
APUTIO,11,0.3516847040218112,2,
APUTIO,12,0.3516847040218183,2,
APUTIO,13,0.3516847040218183,2,
AQENUH,0,4.432397276851255,2,
AQENUH,1,4.432879704746201,2,
AQENUH,2,4.432474536268256,2,
AQENUH,3,4.432536351162828,2,
AQENUH,4,4.432398747047289,2,
AQENUH,5,4.432343704528753,2,
AQENUH,6,4.431597902033035,2,
AQENUH,7,4.432344126428203,2,
AQIBEJ,0,3.5970994396922698,3,
AQIBEJ,1,3.596789722138285,3,
AQIBEJ,8,3.735480095092525,3,
AQIBEJ,9,3.718341348738444,3,
ARAJOS,0,0.26936188092451463,2,
AROBUG,2,3.1510501782171536,2,
AROBUG,3,3.150465808047827,2,
AROCAN,8,3.1566130484540103,2,
AROCAN,9,3.1557646016245697,2,
AROCER,10,3.155786562939685,2,
AROCER,11,3.1557874797931587,2,
AROCER,18,3.1989195659897964,2,
AROCER,19,3.2011626598556204,2,
AROCIV,2,3.3559021768825263,2,
AROCIV,3,3.3549375395364067,2,
AROCIV,6,3.356164238153116,2,
AROCIV,7,3.3551996394151336,2,
AROCOB,1,3.280465630249588,2,
AROCOB,12,3.3698238736345307,2,
AROCOB,13,3.369823858638436,2,
AROCOB,25,3.1730452152404265,2,
AROCOB,26,3.1730452146366037,2,
AROCOB,27,3.1730452152569963,2,
AROCOB,28,3.1730452152406947,2,
AROCOB,29,3.1730452146366037,2,
AROCOB,30,3.1730452146366037,2,
AROCOB,31,3.173045214636592,2,
AROCOB,32,3.173045214636592,2,
AROCOB,50,3.393290100750728,2,
AROCOB,51,3.393290100750728,2,
AROCOB,52,3.3958790154430285,2,
AROCOB,53,3.393290100750728,2,
AROCUH,0,3.081600679175005,2,
AROCUH,1,3.188686211238911,2,
AROYUB,0,0.4974287220425615,2,
AROYUB,3,0.5001862091631031,2,
AROYUB,4,0.5001862091631031,2,
ARUQOU,4,5.027735826736166,2,
ARUQOU,5,5.028120799747116,2,
ARUQOU,14,5.0291175947124485,2,
ARUQOU,15,5.0288898292927104,2,
ARUQUA,3,3.060492716034888,2,
ARUQUA,5,3.0597747113549465,2,
ASEVUP,0,1.785720145482431,2,
ASEVUP,1,1.7842510456210032,2,
ASOWAI,0,2.5762319126257256,2,
ASOWAI,1,2.5763300574883217,2,
ASOWAI,4,2.5751915944770363,2,
ASOWAI,5,2.5745705919780595,2,
ASOWEM,2,2.6577408737586565,2,
ASOWEM,3,2.665328448477997,2,
ASOWEM,4,2.6655827101315697,2,
ASOWEM,5,2.665424805837842,2,
ASOWIQ,0,2.6111881877271963,2,
ASOWIQ,2,2.6881149366527968,2,
ASOWIQ,3,2.688197245274793,2,
ASOWIQ,10,2.611597300202232,2,
ASOWIQ,11,2.6881058366330035,2,
ASOWIQ,12,2.6967804860238584,2,
ASOWIQ,13,2.6882092130724504,2,
ASOWIQ,17,2.6997035073154105,2,
ASOWOW,2,2.6519882977832574,2,
ASOWOW,3,2.6586608270459733,2,
ASOWOW,4,2.6601385581315413,2,
ASOWOW,5,2.6600593477599586,2,
ASOWUC,4,2.846466109141016,2,
ASOWUC,5,2.8459531231971384,2,
ASOWUC,14,2.6970640133173904,2,
ASOWUC,15,2.6982413378591663,2,
ASOXAJ,0,2.816617706013291,2,
ASOXAJ,1,2.815372084829124,2,
ASOXEN,2,2.5010646369967646,2,
ASOXEN,3,2.5010791343367766,2,
ASOXEN,6,2.503311230234226,2,
ASOXEN,7,2.5006409308607265,2,
ASOXIR,2,2.7861541900021805,2,
ASOXIR,3,2.8046570221585143,2,
ASOXIR,4,2.8045323138202627,2,
ASOXIR,5,2.806802725870114,2,
ASOXOX,0,2.76491998649894,2,
ASOXOX,1,2.7647744352111387,2,
ASOXOX,4,2.7644468087448866,2,
ASOXOX,5,2.765139254233698,2,
ATAMIR,6,0.8734947820688261,2,
ATOHIC,2,1.5616367366614288,2,
ATOHIC,3,1.5566278013897654,2,
ATOHIC,33,1.562439735930667,2,
ATOHIC,35,1.5341451919778413,2,
ATOHUN,2,4.027790186005348,2,
ATOJAV,3,2.9061913393044354,2,
ATOJEZ,3,4.421203905751739,2,
AVAWID,0,6.3672183139475305,2,
AVAWOJ,0,0.9767477377411722,2,
AVAWOJ,1,1.2161462441197757,2,
AVAZIH,0,3.6500977424964063,2,
AVAZIH,1,3.6501631237102248,2,
AVAZIH,6,3.6898521702936766,2,
AVAZIH,7,4.56190385107228,2,
AVAZON,0,7.849896760907037,2,
AVAZON,1,7.8264477128393874,2,
AVICEO,0,0.4293209177795032,2,
AVICEO,1,0.327344708593833,2,
AVICEO,2,0.4667622364015145,2,
AVICEO,3,0.4685391013750118,2,
AVICEO,4,0.42939572881504384,2,
AVICEO,5,0.4291266149794142,2,
AVICEO,6,0.47735802428994795,2,
AVICEO,7,0.4659050962471389,2,
AVIMAT,0,1.6991450838019468,2,
AVIMAT,1,1.7205327400323898,2,
AVIMAT,2,1.6510002800130947,2,
AVIMAT,3,1.6512878042246482,2,
AVIMEX,0,0.9157716214715552,2,
AVIMEX,1,0.915771621471562,2,
AVIMEX,2,0.917925539155752,2,
AVIMEX,3,0.917925539155712,2,
AVIMIB,0,0.2936138811094864,2,
AVIMIB,1,0.29394970954530075,2,
AVIMIB,2,0.29284965241113925,2,
AVIMIB,3,0.2921702463897216,2,
AVIMOH,0,1.8413280482500216,2,
AVIMOH,1,1.8415742049250297,2,
AVIMOH,2,1.80972983625396,2,
AVIMOH,3,1.840662717319288,2,
AVUXUM,2,1.8081519193334843,2,
AVUXUM,7,1.8079441612058933,2,
AWALUH,0,1.152207163636707,2,
AWALUH,1,1.1508458526301708,3,
AWALUH,2,1.1535862733285025,2,
AWALUH,3,1.1524028907818642,3,
AWALUH,8,1.1493232266962838,3,
AWALUH,9,1.150239081463965,2,
AWALUH,10,1.1543505700688406,3,
AWALUH,11,1.1553561388469091,2,
AWAMAO,0,0.4636747432400568,2,
AWAMAO,1,0.4682668553486722,2,
AWAMES,0,0.92018769259668,3,
AWAMES,1,0.9202122776341404,3,
AWAMIW,0,0.6943030685343978,2,
AWAMIW,5,0.6943067239753486,2,
AWIGIW,0,1.875311983937184,2,
AWIGIW,7,2.8199009937395902,2,
AWIGIW,24,2.817402210045088,2,
AWIGIW,44,1.8749775396028627,2,
AWIGIW,45,1.873581788724364,2,
AXOKEE,0,1.3557249407597056,2,
AXOKEE,1,1.3557209046978431,2,
AXONIK,1,0.988545724485995,2,
AXONIK,2,0.9889859632978196,2,
AYEFEP,0,1.3961316095198106,2,
AYEFEP,1,1.3971112011700515,2,
AYEFEP,2,1.3966842711003051,2,
AYEFEP,3,1.3976722535094468,3,
AYIBER,0,0.6597755407719972,2,
AYIBER,1,0.6610987564865005,2,
AYOQEK,0,1.3568663492620376,3,
AYOQEK,1,1.3570524968703324,3,
AYOQEK,2,1.3575583052467604,3,
AYOQEK,3,1.3563364657322323,3,
AYOREL,0,2.886454518246082,2,
AYOREL,1,2.8883603635012167,2,
AYOREL,4,2.8856475417078102,2,
AYOREL,5,2.8873562321220243,2,
AYORIP,0,0.8389565456108743,2,
AYORIP,4,0.8377172318440316,2,
AYORIP,5,0.8359777225983507,2,
AYUBED,0,1.6723046062103717,4,
AYUBED,1,1.6725628776864725,4,
AYUBED01,0,1.4044060947671348,3,
AYUBED01,1,1.4044813151909488,3,
AYUBED01,2,1.4043274253760651,3,
AYUBED01,3,1.3882940270749289,4,
AYUMIR,0,1.6367808854924042,2,
AYUMIR,1,1.3933045855634183,2,
AYUMIR,4,1.3926429677117365,2,
AYUMIR,5,1.6078535686003508,2,
AYUMIR,12,1.638315404304557,2,
AYUMIR,13,1.5917698360916854,2,
AYUMIR,16,1.6325762158301873,2,
AYUMIR,17,1.3932992358495102,2,
AZIQUX01,0,0.4925302611739149,3,
AZIQUX01,1,0.4920509225276075,3,
AZIQUX01,2,0.4677066420079092,3,
AZIQUX01,3,0.4918759616792383,3,
AZOMEH,0,0.44090581586320576,2,
AZOMEH,1,0.4450469992948269,3,
AZOMEH,2,0.44152211065204,2,
AZOMEH,3,0.4446801594011025,3,
AZOPOV,0,1.1660648749370393,2,
AZOPOV,1,1.1732223679155491,2,
BAFZEN,1,2.5054356258706068,2,
BAGBUJ,0,3.2910507937215314,3,
BAGBUJ,1,3.3025172995072665,3,
BAGCAQ,2,3.5546872212922187,2,
BAGCAQ,3,3.4920331970152865,2,
BAGCAQ,8,3.505241654832068,2,
BAGCAQ,9,3.4918702978784046,2,
BAGSUY,0,1.492977185117863,2,
BAGSUY,1,1.4962210007925254,2,
BAGSUY,13,1.4967745062176048,2,
BAGSUY,15,1.4755813221572924,2,
BAHSOV,0,0.4285413627010386,2,
BAHSOV,2,0.4171865004055069,2,
BAHSOV,5,0.4158764632068519,2,
BAHSOV,6,0.4161667249971468,2,
BAHTAI,2,2.00539248945111,2,
BALCIB,0,0.6014014964905083,2,
BALCIB,1,0.6018361533611651,2,
BALHAX,0,3.1678546651607062,2,
BALHAX,1,3.1678546651607062,2,
BALHIG,0,2.87663066590152,2,
BALHIG,1,2.8769646655808354,2,
BALHIG,2,1.581814271092318,2,
BALHIG,3,1.5808783975091014,2,
BALHIG,6,2.670702063558615,2,
