CIF,NAperUC
SUWHEZ_extracted.cif,492
SUXMUU_extracted.cif,232
SUYLUT_extracted.cif,660
TADXON_extracted.cif,580
TANPUU_extracted.cif,386
TAQDEW_extracted.cif,808
TASGAY_extracted.cif,1646
TASGEC_extracted.cif,3300
TAXDOM_extracted.cif,1162
TAXFEE01_extracted.cif,400
TAXFEE02_extracted.cif,400
TAXFEE_extracted.cif,400
TAXXEY_extracted.cif,1256
TEBKOA_extracted.cif,260
TEFKOG01_extracted.cif,252
TEFKOG02_extracted.cif,252
TEFKOG03_extracted.cif,254
TEFKOG_extracted.cif,252
TEFXIN_extracted.cif,3016
TEKBES_extracted.cif,636
TEPTIU_extracted.cif,904
TEPTOA_extracted.cif,788
TEYNET_extracted.cif,6084
TIBXEJ_extracted.cif,736
TIGDUK_extracted.cif,1960
TISRUK_extracted.cif,718
TISSAR_extracted.cif,762
TISSEV_extracted.cif,640
TISSIZ_extracted.cif,760
TISSOF_extracted.cif,700
TISSUL_extracted.cif,640
TISTAS_extracted.cif,974
TISTEW_extracted.cif,876
TISTIA_extracted.cif,734
TIWHIS_extracted.cif,1070
TIWHOY_extracted.cif,1772
TIWXUS01_extracted.cif,310
TIWXUS_extracted.cif,464
TIXFIP_extracted.cif,468
TOBDIZ_extracted.cif,606
TOBDOF_extracted.cif,1660
TOBDUL_extracted.cif,600
TOBFAT_extracted.cif,698
TOBFOH_extracted.cif,1726
TOBFUN_extracted.cif,1730
TOCWIT_extracted.cif,870
TODGOK_extracted.cif,1232
TODGUQ_extracted.cif,2168
TODHAX_extracted.cif,1234
TODHEB_extracted.cif,1612
TODHIF_extracted.cif,814
TUCREQ_extracted.cif,1096
TUCROA_extracted.cif,459
TUCSAN_extracted.cif,446
TUDNAI_extracted.cif,860
TUDZAV_extracted.cif,1056
TUTNIG_extracted.cif,172
TUTNOM_extracted.cif,320
TUWWUE_extracted.cif,718
TUWXAL_extracted.cif,488
TUWXEP_extracted.cif,1826
TUWXIT_extracted.cif,1548
TUWXOZ_extractedm.cif,718
TUZHEC_extracted.cif,816
TUZJAA_extracted.cif,384
UAQGEA_extractedm.cif,4388
UBICUF_extracted.cif,396
UBIDAM_extracted.cif,1092
UDUGEG_extracted.cif,494
UDUGIK_extracted.cif,534
UDUJEJ_extracted.cif,504
UDUJIN_extracted.cif,532
UDUJOT_extracted.cif,552
UJUXII_extracted.cif,3288
UJUXOO_extracted.cif,1612
UJUXUU_extracted.cif,3512
UKAGUI_extracted.cif,772
UKOLUB_extracted.cif,128
UKOMAI_extracted.cif,610
ULEGEZ_extracted.cif,1258
ULEGID_extracted.cif,1060
ULEGOJ_extracted.cif,1188
ULEGUP_extracted.cif,1012
ULODUW_extracted.cif,843
UNAQEG_extracted.cif,1168
UNAQIK_extracted.cif,1424
UPALEE_extracted.cif,4080
UPUZOW_extracted.cif,1232
UPUZUC_extracted.cif,2748
UQABAR_extracted.cif,2636
UQABEV_extracted.cif,2380
UQABIZ_extracted.cif,2588
UQABOF_extracted.cif,2364
UQAFID_extracted.cif,782
UQAFOJ_extractedm.cif,4228
UQAFUP_extractedm.cif,4684
UQAGAW_extractedm.cif,4008
UQILEN_extracted.cif,1248
UQOYEG_extracted.cif,360
UQOYIK_extracted.cif,720
UQOYOQ_extracted.cif,540
UQOYUW_extracted.cif,536
UQOZAD_extracted.cif,534
UQUCEQ_extracted.cif,364
UVUYER_extractedm.cif,1610
UVUYIV_extracted.cif,3676
UVUYOB_extractedm.cif,3092
UVUYUH_extracted.cif,1572
UWUVUE_extracted.cif,1304
UXOPED_extracted.cif,1944
UXOPIH_extracted.cif,1606
UZIREB_extracted.cif,836
UZOSOS_extracted.cif,3292
VACSIE_extracted.cif,928
VACSOK_extracted.cif,811
VATXUL_extracted.cif,210
VATYAS_extracted.cif,212
VATYEW_extracted.cif,208
VATYIA_extracted.cif,202
VELSAJ_extracted.cif,1168
VELSEN_extracted.cif,1478
VEVSEW_extractedm.cif,1976
VEZREZ_extracted.cif,3944
VEZVEC_extracted.cif,1972
VIPFAD_extracted.cif,384
VIPFIL_extracted.cif,300
VIPFOR_extracted.cif,300
VIPFUX_extracted.cif,378
VIPGAE_extracted.cif,378
VIQHEI_extracted.cif,832
VIQHIM_extracted.cif,980
VIWWAB_extracted.cif,2094
VOGXOG_extracted.cif,292
VOGXUM_extracted.cif,2808
VOGYAT_extracted.cif,1940
VUGQUK_extracted.cif,2628
VULZOS_extracted.cif,994
VULZUY_extracted.cif,219
VUMMAT_extracted.cif,660
VUNHES_extracted.cif,428
VUVKEE_extracted.cif,1038
VUVKII_extracted.cif,1028
VUVKOO_extracted.cif,1038
WAFTEC_extracted.cif,364
WAFTEC_extracted_loaded.cif,364
WAJNEB_extracted.cif,1776
WAJNIF_extracted.cif,1704
WAJNOL_extracted.cif,820
WAMPUX_extracted.cif,1696
WAQNIN_extracted.cif,404
WAQQUA_extracted.cif,1744
WASQAJ_extracted.cif,1588
WAWPAN_extracted.cif,2298
WAYDEI_extractedm.cif,1548
WAYDIM_extracted.cif,1207
WAYDOS_extracted.cif,6504
WAZYII_extracted.cif,791
WEGCOA_extracted.cif,426
WELHUQ_extracted.cif,608
WEVGIQ_extracted.cif,3096
WEZJOB_extracted.cif,616
WEZJUH_extracted.cif,616
WEZKAO_extracted.cif,994
WEZKES_extracted.cif,908
WIBXAH_extracted.cif,334
WIBXEL_extracted.cif,382
WIGDUO_extracted.cif,958
WITKAL_extracted.cif,420
WITKEP_extracted.cif,458
WITKIT_extracted.cif,492
WIYNOH_extracted.cif,1968
WOFCOL_extracted.cif,378
WOFDIG_extracted.cif,870
WOQSIG_extracted.cif,1416
WUFMIT_extracted.cif,144
WUFXIG_extracted.cif,580
WUFYAZ_extracted.cif,298
WUHXIH_extracted.cif,970
WULQIE01_extracted.cif,540
WULQIE_extracted.cif,714
WULQUQ01_extracted.cif,1172
WULQUQ_extracted.cif,1384
WUQNIG_extracted.cif,1806
WUQROQ_extractedm.cif,1948
WUVQIN_extracted.cif,568
XAFXUY_extracted.cif,528
XAFYAF_extracted.cif,512
XAFYEJ_extracted.cif,232
XAFYIN_extracted.cif,164
XAFYOT_extracted.cif,200
XAFYUZ_extracted.cif,508
XAFZAG_extracted.cif,240
XAJCES_extracted.cif,2016
XAJCIW_extracted.cif,456
XAJCOC_extracted.cif,576
XAJCUI_extracted.cif,6336
XAJDAP_extracted.cif,932
XAJDET_extracted.cif,848
XAJDIX_extracted.cif,336
XAJDOD_extracted.cif,432
XAMYAM_extracted.cif,3088
XAVGUY_extracted.cif,2496
XAVNAM01_extracted.cif,420
XAVNAM_extracted.cif,420
XAVNIU01_extracted.cif,1460
XAVNIU02_extracted.cif,1474
XAVNIU_extracted.cif,1460
XEGZUG_extracted.cif,810
XEHBAP_extracted.cif,2546
XEHBET_extracted.cif,2506
XEHBIX_extracted.cif,3528
XEHBOD_extracted.cif,1816
XEQPUG_extracted.cif,408
XEQQAN_extracted.cif,560
XEVREX_extracted.cif,1076
XEVTOJ_extracted.cif,1824
XEXGUE_extracted.cif,1440
XEXHAL_extracted.cif,1514
XEXHEP_extracted.cif,1960
XEXHIT_extracted.cif,1788
XEXHOZ_extracted.cif,2008
XEXHUF_extracted.cif,1832
XEXJAN_extracted.cif,6884
XEXJER_extracted.cif,576
XEXJIV_extracted.cif,576
XEXLOC_extracted.cif,656
XEXLUI_extracted.cif,520
XEXZUV_extracted.cif,914
XEYBEI01_extracted.cif,762
XEYBEI02_extracted.cif,1264
XEYBEI_extracted.cif,1216
XEZBAF_extracted.cif,1416
XEZBEJ_extracted.cif,1128
XIDCAR_extracted.cif,528
XILMUC_extracted.cif,708
XIWNEW_extracted.cif,182
XIZKOG_extracted.cif,1618
XIZKUM_extracted.cif,1676
XODFAZ_extracted.cif,764
XOWCIV_extracted.cif,794
XOWCOB_extracted.cif,516
XUJVAA_extracted.cif,544
XUJVII_extracted.cif,344
XUPPII_extracted.cif,476
XUPPOO_extracted.cif,1172
XUQJEA_extracted.cif,286
XUQJIE_extracted.cif,290
XUQJOK_extracted.cif,592
XUQJUQ_extracted.cif,720
XUQKAX_extracted.cif,1288
XUQKEB_extracted.cif,2016
XUQKIF_extracted.cif,600
XUQKOL_extracted.cif,564
XUQLAY_extracted.cif,1672
XUQLEC_extracted.cif,912
XUQLIG_extracted.cif,908
XUQLOM_extracted.cif,1896
XUXJUX_extracted.cif,309
XUXKAE_extracted.cif,343
XUXKEI_extracted.cif,2112
XUXKIM_extracted.cif,1900
XUXKOS_extracted.cif,1872
YAHWIQ_extracted.cif,652
YAJLIH_extracted.cif,856
YALVUE_extracted.cif,1188
YANNUX_extracted.cif,1704
YAQHIK_extractedm.cif,2802
YAQHUW_extractedm.cif,4552
YAWHOQ_extractedm.cif,2082
YAWQOC_extracted.cif,104
YAWQUI_extracted.cif,164
YAZMIX_extracted.cif,288
YAZMOD_extracted.cif,284
YAZMUJ_extracted.cif,1530
YEGNEE_extracted.cif,1160
YEGPEG_extracted.cif,787
YEGPIK_extracted.cif,1138
YEVBIN_extracted.cif,408
YEVBOT_extracted.cif,396
YEZQUQ_extracted.cif,706
YEZREB_extracted.cif,940
YIHGEC_extracted.cif,1246
YIJBOJ_extracted.cif,928
YIJBUP_extracted.cif,526
YIJCAW_extracted.cif,476
YINZOL_extracted.cif,2136
YIYTUX_extracted.cif,833
YIYVAF_extracted.cif,316
YIYVEJ_extracted.cif,780
YOTMOL_extracted.cif,99
YOTMUR_extracted.cif,220
YOTNAY_extracted.cif,200
YOVDIY_extracted.cif,112
YUDGEL_extracted.cif,996
YUDGIP_extracted.cif,1158
YUDGOV_extracted.cif,1146
YUJLEW_extracted.cif,268
YUNMIF_extracted.cif,2024
YUTQAG_extracted.cif,552
ZAGCIT_extracted.cif,376
ZAKREL_extracted.cif,2544
ZAKRUB_extracted.cif,858
ZARJOT_extracted.cif,926
ZARJUZ_extracted.cif,850
ZAWVOL_extracted.cif,2564
ZAYDAH_extractedm.cif,2122
ZAYDEL_extracted.cif,722
ZAYPAT_extracted.cif,360
ZAZWEC_extracted.cif,288
ZECHIB_extracted.cif,520
ZECPOP_extracted.cif,500
ZEKRAL_extracted.cif,2348
ZEXSAY_extracted.cif,1032
ZEXSEC_extracted.cif,950
ZEZREE_extracted.cif,416
ZIWMAV_extracted.cif,1014
ZOQHOE_extracted.cif,1008
ZOXLUV_extracted.cif,594
ZOXMAC_extracted.cif,966
ZOXVAL_extracted.cif,942
ZUFCAG_extracted.cif,494
ZUFJAN_extracted.cif,1262
ZULHOF_extracted.cif,2420
ZULHUL_extracted.cif,3004
ZULJAT_extracted.cif,2484
ZULJEX_extracted.cif,1098
